neighborhood,reviews,ratings,price,name,id,image,theme
Lamu,0,5.0,349,"La Joya House, paradise here...",260,https://miro.medium.com/v2/resize:fit:639/1*93h3X8T_pgKwhQ7LVgZBSQ.jpeg,Sandy Beaches
Kwale,0,5.0,466,Makuti House 11 pax (12345),261,https://taalamu.com/wp-content/uploads/2020/12/611-holiday-home-trianum-hospitality.jpg,Sandy Beaches
Nairobi,0,5.0,350,Stunning Penthouse in Westlands.,262,https://a0.muscache.com/im/pictures/735be12c-8453-4ef8-a4e8-67c195b6ddc5.jpg?im_w=720,City
Kwale,0,5.0,373,Arcadia Cliff House,263,https://a0.muscache.com/im/pictures/miso/Hosting-32115720/original/96a8d322-f7a9-4bf5-a2eb-201f72ec3cc4.jpeg?im_w=720,Sandy Beaches
Kwale,0,5.0,380,Adina Garden villa,264,https://cf.bstatic.com/xdata/images/hotel/max1024x768/406958931.jpg?k=8394aa6dcd60fbc2a985d1549f9685b61fd3f6a5be99b2a1092366a56244eabc&o=&hp=1,Sandy Beaches
Nairobi,0,4.0,500,onegoodstay-Luxehill Villas（优住内罗毕豪华独栋别墅）,265,https://a0.muscache.com/im/pictures/012d4cca-4f45-451f-abba-44a77a4d07b8.jpg?im_w=720,City
Nyeri,22,5.0,320,Kahiga Homestay,266,https://coralpi.com/wp-content/uploads/2019/07/Garden-City-3-Bed-Duplex-3-835x467.jpg.webp,Green Cities
Nairobi,23,5.0,400,"Secure, Large, Spacious Apartment",267,https://a0.muscache.com/im/pictures/76d631a1-8129-42bd-ab6f-19a3fe236c8d.jpg?im_w=720,City
Kajiado,2,5.0,455,A Unique beautiful bush home near Amboseli,268,https://a0.muscache.com/im/pictures/3df7ba0a-d91f-4ab6-8cb4-4eab2cc579f1.jpg?im_w=720,Countryside
Mombasa,0,5.0,450,"Fredrick Mikai Tours,",269,https://a0.muscache.com/im/pictures/76d631a1-8129-42bd-ab6f-19a3fe236c8d.jpg?im_w=720,Sandy Beaches
Kiambu,0,5.0,400,Classic Colonial House by Golf Club,270,https://a0.muscache.com/im/pictures/1c1a925b-f68d-4bac-b782-95ea91307b7b.jpg?im_w=720,Town
Kwale,5,5.0,373,Villa Shaanti,271,https://stavica.com/wp-content/uploads/2019/05/ghh-1200x675.jpg,Sandy Beaches
Kiambu,5,5.0,400,Kahawa -Sukari,272,https://a0.muscache.com/im/pictures/miso/Hosting-827836200973769125/original/732ff727-edb9-4a06-bb62-6d2390170d68.jpeg?im_w=720,Town
Nairobi,54,3.5,350,Karura Spring Suites,273,https://a0.muscache.com/im/pictures/miso/Hosting-606213417751506770/original/10d8b011-cdbe-4881-bf8b-8fdc0d3378e5.jpeg,City
Lamu,0,4.0,466,Ras Firdaws House Lamu,274,https://a0.muscache.com/im/pictures/miso/Hosting-43553913/original/3a48029d-8cba-4af0-8a88-3e770b3fa370.jpeg?im_w=720,Sandy Beaches
Kwale,5,4.0,350,"Sandarusi House, Tiwi Beach",275,https://a0.muscache.com/im/pictures/6b3f31bc-5e0c-4c02-a4e3-d359e835bdb2.jpg?im_w=720,Sandy Beaches
Kilifi,2,4.0,449,Neem House Malindi Kenya Coast,276,https://a0.muscache.com/im/pictures/94aed887-abed-48b7-b4a2-db0b9076ce53.jpg?im_w=720,Sandy Beaches
Laikipia,1,4.0,300,Olpejeta Swara house,277,https://a0.muscache.com/im/pictures/miso/Hosting-50128567/original/0f41419c-e552-4900-89d0-357cadddfbd9.jpeg?im_w=720,Countryside
Kilifi,3,4.0,449,Luxury golf beach home in Kenya,278,https://a0.muscache.com/im/pictures/822ffaf0-8a1f-499a-bdf8-f81916665a1f.jpg?im_w=720,Sandy Beaches
Kilifi,23,4.0,350,dar metti,279,https://cf.bstatic.com/xdata/images/hotel/max1024x768/469302281.jpg?k=42283a42355b0a1c8d493dd91667b7c5de15c0e947e893fe9ce5b999e50154b0&o=&hp=1,Sandy Beaches
Nakuru,0,4.0,350,LUXURIOUS VILLA - GREAT RIFT VALLEY LODGE NAIVASHA,280,https://miro.medium.com/v2/resize:fit:639/1*93h3X8T_pgKwhQ7LVgZBSQ.jpeg,City
Kilifi,8,4.0,490,Vipingo Ridge Luxury Golf Villa,281,https://taalamu.com/wp-content/uploads/2020/12/611-holiday-home-trianum-hospitality.jpg,Sandy Beaches
Kilifi,0,5.0,500,Nirvata Villa set in Vipingo Ridge golf Resort,282,https://a0.muscache.com/im/pictures/735be12c-8453-4ef8-a4e8-67c195b6ddc5.jpg?im_w=720,Sandy Beaches
Kilifi,25,3.0,360,Villa with Stunning Sea Views,283,https://a0.muscache.com/im/pictures/miso/Hosting-32115720/original/96a8d322-f7a9-4bf5-a2eb-201f72ec3cc4.jpeg?im_w=720,Sandy Beaches
Mombasa,0,4.0,250,An outstanding luxury villa nyali,284,https://cf.bstatic.com/xdata/images/hotel/max1024x768/406958931.jpg?k=8394aa6dcd60fbc2a985d1549f9685b61fd3f6a5be99b2a1092366a56244eabc&o=&hp=1,Sandy Beaches
Mombasa,0,4.5,234,Wangari Villas,285,https://a0.muscache.com/im/pictures/012d4cca-4f45-451f-abba-44a77a4d07b8.jpg?im_w=720,Sandy Beaches
Kwale,0,3.0,230,Amber Villa II,286,https://coralpi.com/wp-content/uploads/2019/07/Garden-City-3-Bed-Duplex-3-835x467.jpg.webp,Sandy Beaches
Mombasa,0,2.0,250,The Pier Holiday Villa,287,https://a0.muscache.com/im/pictures/76d631a1-8129-42bd-ab6f-19a3fe236c8d.jpg?im_w=720,Sandy Beaches
